,level_0,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,study_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,rating
112,127,127,100,48,"""",13116,survey-likert,40,839095,0.0-2.0-0.37,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Take your dog for a walk, without using a leash.",rate_humanness,gpt-3,I would use a whistle to call my dog. I would then use a leash that attaches to my dog's collar.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
117,132,132,100,48,"""",6768.600000023842,survey-likert,45,943823,0.0-2.0-0.42,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Remove plaque from the teeth of a lion, without using a tranquilizer.",rate_humanness,gpt-3,I would try to distract the lion with a piece of meat while I got some dental floss and a pair of pliers.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
179,204,204,104,42,"""",19194.700000286102,survey-likert,19,312548,0.0-2.0-0.14,6162130b4123efa141aa8644,615eba6a7206985d27058d2c,6165fe0d938fd3c088cea676,6162130b4123efa141aa8644,615eba6a7206985d27058d2c,6165fe0d938fd3c088cea676,"{""humanness"":0}",[0],"Make a pair of new shoes, without using leather.",rate_humanness,gpt-3,I would use a material that is strong enough to support my feet and that is flexible enough to be used as a shoe. I would use a material that is strong enough to support my feet and that is flexible enough to be used as a shoe. I think that a strong material that is flexible enough to be used as a shoe is a strong material that is flexible enough to be used as a shoe. I think that a strong material that is flexible enough to be used as a shoe is a strong material that is flexible enough to be used as a shoe. I think that a strong material that is flexible enough to be used as a shoe is a strong material that is flexible enough to be used as a shoe. I think that a strong material that is flexible enough to be used as a shoe is a strong material that is flexible enough to be used as a shoe. I think that a strong material that is flexible enough to be used as a shoe is a strong material that is flexible enough to be used as a shoe. I think that a strong material that is flexible enough to be used as a shoe is a strong material that is flexible enough to be used as a shoe. I think that a strong material that is flexible enough to be used as a shoe is a strong material that is flexible enough to be used as a shoe. I think that a strong material that is flexible enough to be used as a shoe is a strong material that is flexible enough to be used as a shoe.,41,constrained_single,2021-10-12 21:28:48,47.7.253.54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
215,244,244,105,3,"""",82274.30000019073,survey-likert,8,1386070,0.0-2.0-0.5,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,"{""humanness"":0}",[0],Keep a baby platupyus entertained.,rate_humanness,gpt-3,I would first try to find out what the platupyus likes.,2,unconstrained,2021-10-12 21:28:55,162.154.153.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
229,258,258,105,3,"""",8749.200000047684,survey-likert,22,2103865,0.0-2.0-0.19,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,"{""humanness"":0}",[0],Escape from inside a locked custodial closet.,rate_humanness,gpt-3,"I would try to break the door down by hitting it with my shoulder and head, and I would try to break the window. I would try to find a way to open the lock.",2,unconstrained,2021-10-12 21:28:55,162.154.153.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
238,267,267,105,3,"""",5068.300000190735,survey-likert,31,2300822,0.0-2.0-0.28,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,"{""humanness"":0}",[0],Remove plaque from the teeth of a lion.,rate_humanness,gpt-3,I would first examine the lion's teeth to see what the problem is.,2,unconstrained,2021-10-12 21:28:55,162.154.153.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
239,268,268,105,3,"""",4278.800000190735,survey-likert,32,2305104,0.0-2.0-0.29,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,"{""humanness"":0}",[0],Jump over a six foot tall man.,rate_humanness,gpt-3,I would first try to jump over the man.,2,unconstrained,2021-10-12 21:28:55,162.154.153.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
241,270,270,105,3,"""",64939.199999809265,survey-likert,34,2374924,0.0-2.0-0.31,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,"{""humanness"":0}",[0],Escape quicksand.,rate_humanness,gpt-3,I would try to find a way to get out of it. I would try to get out by digging my way out.,2,unconstrained,2021-10-12 21:28:55,162.154.153.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
247,276,276,105,3,"""",67346.59999990463,survey-likert,40,2470886,0.0-2.0-0.37,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,"{""humanness"":0}",[0],Stop your canoe from falling down the waterfall.,rate_humanness,gpt-3,I would first try to balance my canoe.,2,unconstrained,2021-10-12 21:28:55,162.154.153.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
248,277,277,105,3,"""",116402.70000004768,survey-likert,41,2587303,0.0-2.0-0.38,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,5c19a630257db80001a2b3a8,615eba6a7206985d27058d2c,6165fe111c66b4ea37049436,"{""humanness"":0}",[0],Help your local town mayor win re-election.,rate_humanness,gpt-3,I would get the mayor to vote for me. I would get my friends to vote for me. I would get my family to vote for me.,2,unconstrained,2021-10-12 21:28:55,162.154.153.84,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
264,297,297,106,11,"""",19305.80000001192,survey-likert,12,272378,0.0-2.0-0.9,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,"{""humanness"":0}",[0],Jump over a six foot tall man.,rate_humanness,gpt-3,"I would need to be very fast, so I would need to run a lot. I would also need to be very strong, so I would need to lift weights. I would need to be very flexible, so I would need to stretch a lot. I would need to be very fast, so I would need to run a lot. I would also need to be very strong, so I would need to lift weights. I would need to be very flexible, so I would need to stretch a lot. I would need to be very fast, so I would need to run a lot. I would also need to be very strong, so I would need to lift weights. I would need to be very flexible, so I would need to stretch a lot. I would need to be very fast, so I would need to run a lot. I would also need to be very strong, so I would need to lift weights. I would need to be very flexible, so I would need to stretch a lot. I would need to be very fast, so I would need to run a lot. I would also need to be very strong, so I would need to lift weights. I would need to be very flexible, so I would need to stretch a lot. I would need to be very fast, so I would need to run a lot. I would also need to be very strong, so I would need to lift weights.",10,unconstrained,2021-10-12 21:29:01,166.181.84.108,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
285,318,318,106,11,"""",7799.5,survey-likert,33,594214,0.0-2.0-0.30,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,"{""humanness"":0}",[0],Decorate the world's largest Christmas tree.,rate_humanness,gpt-3,I would have to go to the location where the tree is. I would have to find out how tall it is. I would have to make sure that the tree is strong enough to hold all the lights and decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations. I would have to make sure that the tree is strong enough to hold all the decorations.,10,unconstrained,2021-10-12 21:29:01,166.181.84.108,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
292,325,325,106,11,"""",3999.899999976158,survey-likert,40,700594,0.0-2.0-0.37,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,"{""humanness"":0}",[0],Cool down in a record-breaking heat wave.,rate_humanness,gpt-3,I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming. I would go to the beach or go swimming.,10,unconstrained,2021-10-12 21:29:01,166.181.84.108,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
298,331,331,106,11,"""",13633.200000047684,survey-likert,46,778757,0.0-2.0-0.43,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,"{""humanness"":0}",[0],Protect the deer in your nearby woods during hunting season.,rate_humanness,gpt-3,I would ask a group of people to help me. Then I would go to the deer and ask them to stand at a safe place. I would have a group of people to help me. Then I would tell the group of people to go to the deer and ask them to stand at a safe place. Then I would tell the group of people to go to the deer and ask them to stand at a safe place. Then I would tell the group of people to go to the deer and ask them to stand at a safe place. Then I would tell the group of people to go to the deer and ask them to stand at a safe place.,10,unconstrained,2021-10-12 21:29:01,166.181.84.108,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
299,332,332,106,11,"""",8978.699999988079,survey-likert,47,787751,0.0-2.0-0.44,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,616464a192e2d321ee159121,615eba6a7206985d27058d2c,6165fe16a549c1bc9a38e4b0,"{""humanness"":0}",[0],Escape from inside a locked custodial closet.,rate_humanness,gpt-3,I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in. Then I would take a small object that can fit into the key hole and push it in.,10,unconstrained,2021-10-12 21:29:01,166.181.84.108,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
332,375,375,107,54,"""",25242.399999976158,survey-likert,41,1986231,0.0-2.0-0.32,61651696288e102b40ec08d9,615eba6a7206985d27058d2c,6165fe05ed392ade2dbf47e7,61651696288e102b40ec08d9,615eba6a7206985d27058d2c,6165fe05ed392ade2dbf47e7,"{""humanness"":0}",[0],"Stop your canoe from falling down the waterfall, without using a paddle.",rate_humanness,gpt-3,I would put my arms behind me and brace myself on the sides of the canoe.,53,constrained_single,2021-10-12 21:29:03,45.21.198.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
334,377,377,107,54,"""",10484.400000035763,survey-likert,43,2002704,0.0-2.0-0.34,61651696288e102b40ec08d9,615eba6a7206985d27058d2c,6165fe05ed392ade2dbf47e7,61651696288e102b40ec08d9,615eba6a7206985d27058d2c,6165fe05ed392ade2dbf47e7,"{""humanness"":0}",[0],"Put out a fire that started near the wires from your TV, without using a fire extinguisher.",rate_humanness,gpt-3,"I would use a water source that was close by, like a sink or a bucket, and pour some on the fire.",53,constrained_single,2021-10-12 21:29:03,45.21.198.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
339,382,382,107,54,"""",10577.600000023842,survey-likert,48,2342226,0.0-2.0-0.39,61651696288e102b40ec08d9,615eba6a7206985d27058d2c,6165fe05ed392ade2dbf47e7,61651696288e102b40ec08d9,615eba6a7206985d27058d2c,6165fe05ed392ade2dbf47e7,"{""humanness"":0}",[0],"Jump over a six foot tall man, without using a trampoline.",rate_humanness,gpt-3,"I would jump over a small child, then a medium sized dog, then a small child again. I would then build up my strength to be able to jump over a medium sized dog, then a small child, then a medium sized dog, then a small child. I would then build up my strength to be able to jump over a small child, then a medium sized dog, then a small child again. I would then build up my strength to be able to jump over a medium sized dog, then a small child, then a medium sized dog, then a small child. I would then build up my strength to be able to jump over a medium sized dog, then a small child, then a medium sized dog, then a small child. I would then build up my strength to be able to jump over a small child, then a medium sized dog, then a small child again. I would then build up my strength to be able to jump over a medium sized dog, then a small child, then a medium sized dog, then a small child. I would then build up my strength to be able to jump over a small child, then a medium sized dog, then a small child again. I would then build up my strength to be able to jump over a medium sized dog, then a small child, then a medium sized dog, then a small child.",53,constrained_single,2021-10-12 21:29:03,45.21.198.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36",WebKit,Chrome,94.0.4606.81,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
346,393,393,108,43,"""",23114.439999997558,survey-likert,4,360361,0.0-2.0-0.1,615cb384ce89087ee23d6a9b,615eba6a7206985d27058d2c,6165fd45ba55a6dd759becb2,615cb384ce89087ee23d6a9b,615eba6a7206985d27058d2c,6165fd45ba55a6dd759becb2,"{""humanness"":0}",[0],"Put out a fire that started near the wires from your TV, without using a fire extinguisher.",rate_humanness,gpt-3,I would try to use a bucket filled with water and throw it at the fire. I would also try to use a rug to smother the fire. I would also try to use a hose to spray down the fire.,42,constrained_single,2021-10-12 21:30:06,73.43.2.113,"Mozilla/5.0 (X11; CrOS x86_64 12239.92.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.136 Safari/537.36",WebKit,Chrome,76.0.3809.136,ChromeOS,12239.92.0,73c52a900c5758503c09bfb5160dbd95,0
425,480,480,111,55,"""",15069.79999999702,survey-likert,8,185730,0.0-2.0-0.5,6162820c22e51311dec6959c,615eba6a7206985d27058d2c,6165fe7f4a71eaf30e0d3946,6162820c22e51311dec6959c,615eba6a7206985d27058d2c,6165fe7f4a71eaf30e0d3946,"{""humanness"":0}",[0],"Escape from inside a locked custodial closet, without using a phone.",rate_humanness,gpt-3,"I would first look for a way to unlock the door. If I could not find one, I would try to break the door down, but if I could not do that, I would try to break the door down. Then I would try to find a way to unlock the door.",54,constrained_single,2021-10-12 21:30:44,129.219.21.165,"Mozilla/5.0 (X11; CrOS x86_64 14092.46.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.69 Safari/537.36",WebKit,Chrome,93.0.4577.69,ChromeOS,14092.46.0,73c52a900c5758503c09bfb5160dbd95,0
