,goal,plan,id,goal_type
21,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""Draw out the idea, run it by others. Have a lot of money to bring the idea to life. Spend a year planning and building the float with a crew hired to help.""",human,unconstrained
22,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""Start drafting ideas. Then hire a freelance designer to help bring your creation to life.""",human,unconstrained
23,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""First, I would sketch out the plan for the float on paper, until I get the design that I am happy with.  Then I would figure out what supplies are needed to be able to create the design.  I would purchase the supplies, and then work to assemble the float according to the sketches.  I would also likely have to gather a team to help me with this task, so that I can have various opinions and and different skill sets to assist me with this.""",human,unconstrained
24,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""Procure a flat bed trailer, this will be the base of the float. Decide on the theme of your float. Make a sketch of what the finished product will look like, taking special note of what materials you will use for each part of the float. Recruit a few friends to help make the float. Start to build the float using your gathered materials. Don't forget to add a celebrity to ride on your float, Marvel superheroes are very in right now so try to grab Scarlett Johansen. Enjoy the parade!.""",human,unconstrained
25,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""First you will need to decide on what theme for your float. Second you will need to buy all of your supplies. Thirdly you will need to build your float. Lastly buy supplies to throw off of the float and enjoy.""",human,unconstrained
26,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""I would probably get my New Orleans friends to help me with this because I don't know much about parades, and it would be ideal to have a team, anyways. We would have to custom build the frame of the float, decide on a theme. Speaking of friends, I could contact another person I know who used to do fire and flow shows and the float could be designed in a way that allowed them to perform live.""",human,unconstrained
27,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""Get the needed backing and sponsorship and education regarding building a float. Assemble a team and build it.""",human,unconstrained
28,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""I'd have to try out my ideas with that of my colleagues, then we'd purchase materials and secure a location for building the float.""",human,unconstrained
29,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""This is a huge opportunity for the right person, assuming it is you, you will want to plan this float out from start to finish. What will be the base of the float? How it will it be propelled? What emotion do you want to portray? There are many things to take into account other than the looks. Safety is a major concern too. How will you properly ensure the float riders' safety? Be sure to have plenty of room for them to be spread apart. Be sure to build your float from the bottom up.""",human,unconstrained
30,Goal: Clean the dirty dishes.,"""I would first separate the dishes by type and then separate what needs to be hand washed and what can go in the dishwasher. I would then load the dishwasher top first and bottom next, put in the cleaning tab and start it. Then I would hand wash any other dishes in the in the sink and put them on the drying rack.""",human,unconstrained
31,Goal: Clean the dirty dishes.,"""First I would stack all the dish u on one side then i would clean the sink out with bleach. Then I will run the water ass soap and bleach to the water. then I would put the dishes back inside the water and i would get the sponge and wash all the dish and put the on the other side and then rinse them and put them in the dry rake.""",human,unconstrained
32,Goal: Clean the dirty dishes.,"""scrape them, place them in warm soapy water and scrub, then place in tub of cool water for 30+ seconds, then place into a sink full of water and sanitizer for a few minutes. air dry.""",human,unconstrained
33,Goal: Clean the dirty dishes.,"""Cleaning dirty dishes requires a great sponge, water, dish soap, a towel and some muscles.  First rinse off as much of the debris as possible.  Then scrub with a the sponge that has dish soap on it.  Rinse all of the soap off, dry with a towel and place it in a dish rack to completely dry.""",human,unconstrained
34,Goal: Clean the dirty dishes.,"""making sure there is enough water. making sure there is enough detergent . wash properly. dry off the water from the dishes . place the dishes in the right place.""",human,unconstrained
35,Goal: Clean the dirty dishes.,"""To clean the dirty dishes you will need warm water, liquid soap, and a sponge or cloth. Once you have obtained these items you can begin to clean the dishes carefully before setting them out to dry.""",human,unconstrained
36,Goal: Clean the dirty dishes.,"""First, you should gather the dishes, then rinse them, then put them in the dishwasher.""",human,unconstrained
37,Goal: Clean the dirty dishes.,"""To clean my dirty dishes, first I will need to rinse them. Then, I will scrub them with soap and rinse with water. Finally, I will dry with a hand towel and put them back in the cabinets.""",human,unconstrained
38,Goal: Clean the dirty dishes.,"""I set the dishes aside then I proceed to wash them.""",human,unconstrained
39,Goal: Clean the dirty dishes.,"""wash all dirty dishes.""",human,unconstrained
40,Goal: Cool down in a record-breaking heat wave.,"""I'm going to cool down a record by doing my best in the the activity.""",human,unconstrained
41,Goal: Cool down in a record-breaking heat wave.,"""Gotta start with ice cubes. Hopefully I'll have planned ahead and have either turned on the ice machine or filled up trays and stuck them in the freezer. I will plug in my air conditioner, turn it to max (or as low as it will go temp-wise), close the windows to retain the chilled air, fill up my Klean Kanteen with those ice cubes and fresh water, take a cold shower, then sit in the air-conditioned room.""",human,unconstrained
42,Goal: Cool down in a record-breaking heat wave.,"""Make sure to stock up on ice and to keep a good cooler and a deep freezer. To always stay hydrated. Stock up on bottled water.""",human,unconstrained
43,Goal: Cool down in a record-breaking heat wave.,"""First, I would stay hydrated by drinking water. Then I would find somewhere to swim. I would bring along shade and extra water for drinking. I would swim during the late afternoon to cool my body during the hottest part of the day.""",human,unconstrained
44,Goal: Cool down in a record-breaking heat wave.,"""1) stay inside, turn on air conditioning if possible. 2) use fans or go downstairs where it is warmer. 3) eat cold foods such as ice cream, popsicles, cold water, etc.""",human,unconstrained
45,Goal: Cool down in a record-breaking heat wave.,"""To cool down in a heat wave, you would need to seek shelter in some place, at a house, or some area that would have air conditioning or a fan of some sort. You need to drink a lot of water as well to stay hydrated. Potentially, you could also go to a beach or large body of water to swim and cool down that way.""",human,unconstrained
46,Goal: Cool down in a record-breaking heat wave.,"""Go inside where it is cooler. If air-conditioning is available take advantage of that. Regardless, wear light-weight, breathable clothing. Try to move or be active as little as possible. Have ice or cold water nearby to place on the back of your neck or inside of wrists. Also drink plenty of water to prevent dehydration.""",human,unconstrained
47,Goal: Cool down in a record-breaking heat wave.,"""If you have air conditioning in the house or car turn it on when you are in the house or car. If no air conditioning, turn on fans to blow directly on your body. If there are no fans, put washcloths dipped in cold water on your neck, forehead, wrists, groin areas. Or fill a bathtub with lukewarm water and climb in.""",human,unconstrained
48,Goal: Cool down in a record-breaking heat wave.,"""Constantly eat food that helps me cool off and staying hydrated.""",human,unconstrained
49,Goal: Cool down in a record-breaking heat wave.,"""I drink ice cold water, eat ice cream or I splash cold water to my face.I would use cool water on a rag and then I put it at the back of my neck.""",human,unconstrained
50,Goal: Create a safe landing for a falling skydiver.,"""My plan to create a safe landing for a falling skydiver involves taking careful steps to make sure the skydiver is properly prepared. This would involve checking both the primary parachute and the secondary reserve parachute for any issues that may impact their function. Ensuring that both of the parachutes work will create a safe landing due to the items working correctly.""",human,unconstrained
51,Goal: Create a safe landing for a falling skydiver.,"""A falling skydiver needs to have a soft landing in open land.  I would survey the area the skydiver was falling and place a large blown up safety pad for them to fall on under them in a uncluttered area.  One like the firefighters use when people have to jump out of burning buildings.""",human,unconstrained
52,Goal: Create a safe landing for a falling skydiver.,"""To create a safe landing for a skydiver, I will clear the ground under where we are planning to let them land. I will set stakes in the ground with bright-colored flags to ensure no one will enter the area.""",human,unconstrained
53,Goal: Create a safe landing for a falling skydiver.,"""My plan is to first have the skydiver complete training on how to skydive. Then I would make sure the skydiver had two parachutes, in case one malfunctions. I would also make sure there was an approximate landing are with no dangerous structures anywhere near it.""",human,unconstrained
54,Goal: Create a safe landing for a falling skydiver.,"""I have not words for this.""",human,unconstrained
55,Goal: Create a safe landing for a falling skydiver.,"""I would glind the skydiver to a safe area where it would be safe to land. I would makes sure that they would have a safe landing.""",human,unconstrained
56,Goal: Create a safe landing for a falling skydiver.,"""Take a deep breath. Take a deeper breath. Take an even deeper breath. Continue to do this until you have inflated yourself to the size of a large house. Stand under the falling skydiver.""",human,unconstrained
57,Goal: Create a safe landing for a falling skydiver.,"""have 4+drones on standbyto fly an outstretched net up toward skydiver, meet their speed and allow them to land in the net, then slowly lowering to safety.""",human,unconstrained
58,Goal: Create a safe landing for a falling skydiver.,"""Use a parachute and pull the rip cord at the right height.""",human,unconstrained
59,Goal: Create a safe landing for a falling skydiver.,"""I try to determine the exact location the diver will land and put a life net there.""",human,unconstrained
60,Goal: Cut down a tree.,"""My plan is to get a chainsaw .""",human,unconstrained
61,Goal: Cut down a tree.,"""My plan is to simply get a chain saw and an axe, select the appropriate tree with adequate permission and extensive helping hand to do the job.""",human,unconstrained
62,Goal: Cut down a tree.,"""I will go to in a nearest forest to cut down a tree.""",human,unconstrained
63,Goal: Cut down a tree.,"""get a chainsaw. make sure you do research on where/how to cut a tree because sometimes branches /trees can fall in a different direction than you think. yell TIMBER so everyone nearby knows. carefully saw it across the correct area.""",human,unconstrained
64,Goal: Cut down a tree.,"""Exercise the upper body to build the strength, purchase an axe, learn about safety procedures.""",human,unconstrained
65,Goal: Cut down a tree.,"""I will get a chainsaw and a lorry to move it from the forest.""",human,unconstrained
66,Goal: Cut down a tree.,"""Make sure I have the right tools. carefully cut it down so it does not hit anyone or anything.""",human,unconstrained
67,Goal: Cut down a tree.,"""First, you would have to make sure you have the tools necessary to cut down the tree as well as the strength to cut down the tree if need be. There are many different tools you could use to cut down a tree, and you would need the money to buy them if you don't have them already; therefore, you would need to save money or work to buy the tools you need, and also exercise your upper body/core/whatever is necessary to be able to cut down that tree.""",human,unconstrained
68,Goal: Cut down a tree.,"""I would find a tree and purchase a saw.   I would clear the area around the tree.""",human,unconstrained
69,Goal: Cut down a tree.,"""First, I will make sure that I have access to a safe, efficient chainsaw. Then, I will make sure I have all the necessary safety gear. Next, I will cut with proper protocols.""",human,unconstrained
70,Goal: Decorate the world's largest Christmas tree.,"""I will buy a Christmas tree. Then shop for different kinds of decorative packs, after buying this items. I'll employ people who will assist with the decorations .""",human,unconstrained
71,Goal: Decorate the world's largest Christmas tree.,"""make a plan of where you want certain ornaments to go before you start decorating, so it doesn't look messy. i like to hang certain groups of ornaments at time, like all the balls together and then the handmade ones after. tree topper is last of course.""",human,unconstrained
72,Goal: Decorate the world's largest Christmas tree.,"""I would first look for the record of the current worlds largest christmas tree.  I would find out where it is and how large it is.  I would try to find either that tree or if no longer exists,  a comparable tree.  I would then begin shopping for decorations and a ladder.""",human,unconstrained
73,Goal: Decorate the world's largest Christmas tree.,"""Chop down a very tall Christmas tree, then decorate it with lights.""",human,unconstrained
74,Goal: Decorate the world's largest Christmas tree.,"""Buy a large Christmas tree and add some  Christmas tree lights and decorations.""",human,unconstrained
75,Goal: Decorate the world's largest Christmas tree.,"""Decorate a grown live tree using ladder.""",human,unconstrained
76,Goal: Decorate the world's largest Christmas tree.,"""make a large christmas tree outside of my house by gathering all the ingredients.""",human,unconstrained
77,Goal: Decorate the world's largest Christmas tree.,"""The plan would basically be to partner with a Not-for profit organization that focuses on creating awareness for environmental issues.The idea will then be sold to them that the greatest awareness that can be created would be to create a green revolution symbol using the statue of liberty. This will be achieved by adoring the statue with manufactured leaves an lighting during Christmas to form a giant Christmas tree and the symbol for Green awareness.""",human,unconstrained
78,Goal: Decorate the world's largest Christmas tree.,"""Find the world's largest christmas tree, purchase decorations and a big ladder.""",human,unconstrained
79,Goal: Decorate the world's largest Christmas tree.,"""I would first assemble a team of people who are not afraid of heights. Next, I would make sure we have access to cranes that can extend as far as needed. We would systematically tackle the decorating together by getting all the necessary lights, ornaments, garland, etc.""",human,unconstrained
80,Goal: Escape from inside a locked custodial closet.,"""If you have a phone, turn on the flashlight and put it on the lowest level to save battery power. Look for tools like a screwdriver to dismantle the door knob.""",human,unconstrained
81,Goal: Escape from inside a locked custodial closet.,"""My first plan would be to bang on the door loudly, and make as much noise as I could, in the hopes that someone would be able to hear me and unlock the door for me.  If that did not work, I would explore my surroundings to see if I can find something that will help me to break down the door.""",human,unconstrained
82,Goal: Escape from inside a locked custodial closet.,"""Bang really loud if someone passes by, if you have no luck with that. Try using objects in said room to break the door. If that doesn’t work try picking the lock. If all else falls look for a vent in the ceiling and crawl through the ducks.""",human,unconstrained
83,Goal: Escape from inside a locked custodial closet.,"""Make a lot of noise yelling and banging to get help. If that fails try to break your way out.""",human,unconstrained
84,Goal: Escape from inside a locked custodial closet.,"""Take a deep breath. Find something you can use for leverage, a mop handle or scrap wood will work great. Take what you have found and wedge it between the door and the door casing, closer to the handle the better. Put your feet on the walls to allow yourself to use full bosy strength on the lever and pull, pull pull. Use the adreline rush to pull until the door finally pops open. Alternate plan, slide a note under the door asking for someone walking by to open the door.""",human,unconstrained
85,Goal: Escape from inside a locked custodial closet.,"""1. I suggest calling for help, if you have your phone. 2. Shout for help. 3. Bang on the door. 4. Use a heavy object to break the door/lock.""",human,unconstrained
86,Goal: Escape from inside a locked custodial closet.,"""Bang on the door to try and get the nearest person's attention. Tell them to get help. If not, get help yourself by pulling out your cell phone and calling 911. After awhile, cops should come and free you from the closet. If they don't then try lockpicking. If you don't know how to lockpick, try to find a screwdriver inside of the closet and unscrew the handle.""",human,unconstrained
87,Goal: Escape from inside a locked custodial closet.,"""Calm down. Take a deep breathe and look at your surroundings. Assuming you are the custodian, do you have a key? If not, do you have a phone with service? Google and call the business you are at and have them unlock the door. You are now free.""",human,unconstrained
88,Goal: Escape from inside a locked custodial closet.,"""Call someone if you have a phone. If not, look for a vent/possible opening in the closet. If that is not an option, look for an item inside the closet to possibly break the door/handle/lock or bang on the door in hopes someone hears to unlock the door.""",human,unconstrained
89,Goal: Escape from inside a locked custodial closet.,"""I'd wait study how the locks are and I'd ensure there's a sharp object I can use to pick the lock, then wait for the guard to take a walk before picking the lock and crawling my way out.""",human,unconstrained
90,Goal: Escape quicksand.,"""Be calm and be still. Call out for help from others.""",human,unconstrained
91,Goal: Escape quicksand.,"""If in an area known to have quicksand inform yourself as to how to avoid it. Educate yoourself on ways to escape it should you fall into it.""",human,unconstrained
92,Goal: Escape quicksand.,"""1. Reach for a branch. 2. Do not struggle too much, everyone knows struggles makes you sink faster. 3. Call for help. 4. pull yourself out if you can.""",human,unconstrained
93,Goal: Escape quicksand.,"""Lie on your back in order to float, and try to find something to grab onto so you can pull yourself out. If not, then kick slowly to propel yourself out of the quicksand.""",human,unconstrained
94,Goal: Escape quicksand.,"""I would first throw whatever I was carrying onto solid land, and slowly move towards a branch or something I could use to pull myself out with, keeping my hands up the whole time.""",human,unconstrained
95,Goal: Escape quicksand.,"""As I don't know how to escape quicksand, I would try to stay as calm as possible, because I feel like struggling or panicking would only make it worse.  I would slowly try to pull myself out, or call for help, in the hopes that someone nearby me would be able to assist me.""",human,unconstrained
96,Goal: Escape quicksand.,"""Lean back to prevent sinking. Stay calm. Pull yourself out.""",human,unconstrained
97,Goal: Escape quicksand.,"""First, take a deep breath and relax. This is a trip to the spa and the gym all wrapped in one experience. Find something you can grab a hold of, branch or vines work great in the movies. Pull yourself up slowly, this isn't a race. Pull and rest. Pull and rest. Before you know it you will be out of the quicksand with new arm strength and exfoliated skin.""",human,unconstrained
98,Goal: Escape quicksand.,"""If you aren’t alone, don’t panic it’ll only make it worse. Be still and reach your arms up while the person you are with gets a branch and pulls you out.""",human,unconstrained
99,Goal: Escape quicksand.,"""Relax and spread you body out to increase surface area. Look for something to grab on to that's outside the sand area and slowly pull yourself out.""",human,unconstrained
100,Goal: Find out how many sharks live in a cove off a nearby coast.,"""I would contact the marine biologist that are surveying the cove that the sharks are living in and ask them how many sharks are living in the cove. The Coast Guard would also have experts that survey the cove in order to keep people safe from shark attacks.  I would contact them as well to see what information they have on the sharks in the cove.""",human,unconstrained
101,Goal: Find out how many sharks live in a cove off a nearby coast.,"""firstly,ensure that you evacuate any people living around such area. secondly,call on the agency who are responsible for wildlife organisms . thirdly,set out or demarcate such area with red lines. fourthly,hang notice board with inscription of danger zone.""",human,unconstrained
102,Goal: Find out how many sharks live in a cove off a nearby coast.,"""Get a submarine and go into the cove.""",human,unconstrained
103,Goal: Find out how many sharks live in a cove off a nearby coast.,"""by analyzing environmental DNA (eDNA) and its fragment in the nearby coast.""",human,unconstrained
104,Goal: Find out how many sharks live in a cove off a nearby coast.,"""place a large piece of bait just outside the cove and obsever results from underwater camera.""",human,unconstrained
105,Goal: Find out how many sharks live in a cove off a nearby coast.,"""Google the answer.""",human,unconstrained
106,Goal: Find out how many sharks live in a cove off a nearby coast.,"""Download the shark app on a smart phone, and search the coast you are looking at to see how many tagged sharks are in the cove. Or you can find a local aquarium and ask to speak to a marine biologist and ask for help in finding out the approximate amount that live in a cove off the coast.""",human,unconstrained
107,Goal: Find out how many sharks live in a cove off a nearby coast.,"""The best course of action to determine how many sharks live in a cove would be to first set up a stationary camera underwater. It would be necessary to have the camera record for a longer period of time to make sure there is enough time to gain an accurate count of the sharks. If you allow the camera to run for 72 hours, you can then review the footage and count the sharks carefully while taking extra care to not count the same sharks twice.""",human,unconstrained
108,Goal: Find out how many sharks live in a cove off a nearby coast.,"""I would start off by researching about sharks living in the cover off the coast. And then i would find out how any by that research.""",human,unconstrained
109,Goal: Find out how many sharks live in a cove off a nearby coast.,"""To find out how many sharks are in a cove, I will work with marine biologists to tag a number of sharks according to their protocols. Then we can assess their patterns and use statistics to determine the total number of sharks living in the cove.""",human,unconstrained
110,Goal: Fix a flat tire.,"""To fix a flat tire, I will pull over to the side of the road safely with my hazard lights on. I will then get out my jack, jackstand, tire iron, and spare tire. I will put my jackstand under the car and use the jack to lift the car up to the desired height. I will then use the tire iron to loosen the lugnuts. Then I will use the jack to lift the car the rest of the way and make sure the jackstand is secure as well. I will loosen the lugnuts the rest of the way and remove the tire. Then I will replace it with the spare tire. After that I will tighten the lugnuts all the way in a star pattern. Then I will lower the tire using the jack, removing the jackstand. I will put all my tools away. I will then take the tire to a shop which will assess the tire and determine if it can safely be patched or will need to be replaced.""",human,unconstrained
111,Goal: Fix a flat tire.,"""Park the Vehicle. Brace the Tires. Identify Spare Tire and Jack. Position the Jack and Jack up the Car. Remove Hubcaps and Loosen Lug Nuts. Remove the flat Tire and Attach the Spare Tire. And Lastly Tighten the Lug Nuts.""",human,unconstrained
112,Goal: Fix a flat tire.,"""jack up the car next to the appropriate tire, unscrew the bolts, remove tire and replace it with spare, screw in all of the bolts, release the jack.""",human,unconstrained
113,Goal: Fix a flat tire.,"""Get spare out of trunk, jack up car, replace tire, let car off of jack.""",human,unconstrained
114,Goal: Fix a flat tire.,"""There are several ways to fix a flat tire.  If it's a nail in it you can have it patched up and air put in it.  If it is a quick repair you can put fix a flat in it and they sale it at any auto body shop.  If it is a complete blowout, you have to put a spare tire and buy a new one to replace the damaged tire.""",human,unconstrained
115,Goal: Fix a flat tire.,"""The first thing I would do is find out where the tire is flat at. After I would lift the car up so that i can get the tired off. Then I would take tire off. Then I will locate the spare tire. I will put the spare tire on the car and then I would put the swrew back on the tire and then I would put the car back down and i can go.""",human,unconstrained
116,Goal: Fix a flat tire.,"""bring your flat tire to a car mechanic and ask them to fix the flat tire. If the flat tire is attached to a car, then call a tow to bring your car to a local car mechanic to fix the flat. DO NOT drive on a flat tire to a car mechanic.""",human,unconstrained
117,Goal: Fix a flat tire.,"""Lay out your tools. Jack up the car. Get the bolts off. Put the tire back on. Replace the bolts. Remove the jack. THen call your dad and make sure you didn't mess up.""",human,unconstrained
118,Goal: Fix a flat tire.,"""My plan would be to pull over to a safe spot off the road and call my dad or my husband.""",human,unconstrained
119,Goal: Fix a flat tire.,"""ensure there is vulcanizing tools available . availability of  spare Tyre . loose the flat Tyre completely. replace with the spare . and finally gauge the pressure of the spare.""",human,unconstrained
120,Goal: Get your sofa onto the roof of your house.,"""To get a sofa onto the roof of the house, there could be several options to achieve this task. This would depend on tall the house was. This could require different machinery as well. I am not too familiar with equipment like that, but something like a crane or something similar to lift heavy objects could be useful. This would require also at least someone to operate the machine. If the house is shorter, potentially a sturdy ladder and a few people who are capable of carrying the couch could do.""",human,unconstrained
121,Goal: Get your sofa onto the roof of your house.,"""First you should determine how many people you will need. This will depend on how tall the house is and how big the couch is. Getting the couch onto the roof will likely require someone on top of the roof as well. If the roof cannot be accessed without a ladder one should be gotten. The couch should be covered to prevent damage. The parties involved should use a type of strap that allows leverage to hoist the couch up. The couch should be pulled up and also guided to not damage anything.""",human,unconstrained
122,Goal: Get your sofa onto the roof of your house.,"""this will not be easy to be honest but the i will build a stairs to the roof of the house from which i will gather men together with myself and then we all pull or push the sofa to the roof.""",human,unconstrained
123,Goal: Get your sofa onto the roof of your house.,"""You will need a way to climb up onto the roof. Is there a stairway to the roof? You may need to rent a Genie lift large enough to carry the sofa. You will need at least one other person to help you lift and carry the sofa. Trying to use ladders would be a dangerous way to get to the roof. I fell off a ladder once and injured myself. I do Not recommend using ladders.""",human,unconstrained
124,Goal: Get your sofa onto the roof of your house.,"""The easiest way would be a crane but it would be costly.""",human,unconstrained
125,Goal: Get your sofa onto the roof of your house.,"""Need a pulley system. Moving furniture is no joke. I'll take off the screens and windows and pass the sofa through the opening. I've measured, it's large enough. The most important step is setting up the pulley on the roof. The pulley needs to be securely fastened to a fixed structure, or attached to a rig that is satisfactorily counterweighted down. then I'll need one extra guy to guide it through the window opening while I pull the rope, and then to guide it onto the roof when it's been sufficiently hoisted.""",human,unconstrained
126,Goal: Get your sofa onto the roof of your house.,"""I get a ladder and some persons climb up while others are down and a rope is attached to the sofa to drag it up.""",human,unconstrained
127,Goal: Get your sofa onto the roof of your house.,"""1: download Taskrabbit and setup an account. 2: describe your goal in a call for taskers. 3: let a stranger into your house to help you move your couch. 4: invite your new friend to stay a while at the couch's new location with a refreshing drink, maybe? Politely laugh it off when he declines.""",human,unconstrained
128,Goal: Get your sofa onto the roof of your house.,"""1) cover the sofa in a protective layer, such as plastic. 2) move sofa to the outside of the house. 3) have someone climb onto the roof using a ladder. 4) using that same ladder, move the sofa, with the help of the person on the roof, onto the roof.""",human,unconstrained
129,Goal: Get your sofa onto the roof of your house.,"""I'm gonna call someone to fix my sofa onto the roof of my house very soon.""",human,unconstrained
130,Goal: Help your local town mayor win re-election.,"""Give the mayor's campaign committee a donation, up to the maximum permissible amount. get a yard sign and put it in your front yard, in view of passers-by (the bigger the sign, the better). Engage in fisticuffs with neighbors who disagree with you politically.""",human,unconstrained
131,Goal: Help your local town mayor win re-election.,"""I go to an organization that helps the re-election and I ask what can I do. It usually is going to door to door or going to the side of the side with signs. I would go on my social media and post my support for my mayor.""",human,unconstrained
132,Goal: Help your local town mayor win re-election.,"""First understand the current polling situation. The best course of action regardless is to join their campaign and get involved on the ground. This will likely include door-to-door canvasing and spreading the goals of the mayor.""",human,unconstrained
133,Goal: Help your local town mayor win re-election.,"""Vote for him in the coming election and go out to mobilise voters and supporters for his re-election.""",human,unconstrained
134,Goal: Help your local town mayor win re-election.,"""well with this we have to first solicit for advice from the locals as to their needs and wants and also do a feasibilty assesment to check whether or not they will vote for the major in the next election and also we would present to them the work in which we have done so far if its good most importantly show the the projects we would like to further and put into action once re-elected. further more also provide soft loads and try to create employment opportunity for the the town folks .""",human,unconstrained
135,Goal: Help your local town mayor win re-election.,"""Market research: what are the demographics? How do these people vote? What issues are important to them? Who are you running against? Already won an election, so the populace knows your guy. What worked in first term? What were people mad about? Cut talk of policies they didn't like, hammer the ones they did. Be everywhere: sporting events, fundraisers, local chamber of commerce, small businesses. Push our message, don't let the newspapers drive the narrative. Get all over social media. Where is your main opponent weak? Hammer that.""",human,unconstrained
136,Goal: Help your local town mayor win re-election.,"""First, look into the needs of the people in the area to find out what can be improved upon. Then I would research how other towns have successfully solved similar problems. I would present this to the mayor to strategize for the campaign. Finally, I would make sure the mayor has plenty of face-time with their constituents so they find them relatable and trustworthy.""",human,unconstrained
137,Goal: Help your local town mayor win re-election.,"""Speak with Mayor's campaign staff to find out what kind of help they are requesting. They may ask you to contribute money, put up yard signs, attend rallys, call townspeople on phone to encourage them to vote. Speak to your friends and neighbors. Tell them why you think the Mayor is good for your town.""",human,unconstrained
